star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
5,4,4,5,5,5,직원들에게 회시비젼 뿐만 아니라 자신 스스로도 비전을 가지고 무언가 얻어가길 바라고 지원해주는 그런곳.,기존의 전통적인 기업문화나 계급적인 구조를 원하신다면 전혀 어울리는 회사가 아닙니다.
4,3,5,5,5,4,"빠르게 성장하는 회사, 조직이 크지 않아 돌아가는 과정을 직접 보고 느낄 수 있음",아직 체계가 잡히는 단계라 다소 업무 관련 혼란이 있음
5,5,4,5,5,5,"수평적인 사내 분위기/처음 일을 시작할 때 체계적인 교육이 있어 좋았다./열심히 일하고 배우며 성장할 수 있는 곳이다./야근은 거의 없다고 봐야 하며 근무시간 내 효율적으로 일하는 문화이다./음료 무한 제공, 업무 관련 도서 비지원, 레슨비 지원, 체력단련비 지원, 리프레시 휴가 등의 혜택있다.",여러 사람의 다양성을 지나치게 존중해주는 것 같다. 회사가 빠르게 성장하고 직원 수도 빠르게 늘어나는 상황에서 어느 정도 다양성의 파괴가 필요할 것 같고 다양성의 파괴가 창의성을 파괴하는 건 아니라고 생각한다.
5,4,3,5,4,4,"뭐를 배우든지 10만원씩 레슨비를 주고, 헬스장 등록하면 체력단련비로 지원. 일상생활에서 이런 개인 활동이 가능하도록 야근을 자연스럽게 강요하는 분위기가 없음",빠르게 성장하다보니 이제 모르는 사람들이 슬슬 많아져서 조직 내 체계적인 커뮤니케이션 시스템이 필요해지는 상황
5,4,4,5,4,4,"스타트업이지만 질서가 있는 점, 빠른 의사결정구조, 야근 강요가 없고 자기계발시간을 장려하는 점, 대표가 1:1로 직원들과 소통하려고 노력하는 점, 직원들간 소통을 적극적으로 지원",아직까지 복리후생 등이 다양하지 못함. 이 부분은 구성원간 의견을 반영하여 개선 노력하는 듯 보임
4,3,4,5,4,3,"1년마다 주어지는 리프레쉬 휴가 혜택, 회사의 성장에 따른 직원 보상, 계속 빠르게 성장하는 회사의 일원으로서 자부심",꾸준한 성장과 변화의 과정에서 생기는 프로세스 미정립
5,4,4,5,5,5,'주'문화를 다루기에 주목받는 성장기업인 만큼 발전가능성이 높다는 점. 수직적이지 않은 조직관계 및 분위기가 일할 때의 원동력이 됨.,"신입보다 경력자들이 많아, 아직까지 체계화된 연수체제는 없다는 점. 스스로 열심히 습득해나가는 묘미."
5,5,5,5,5,5,대한민국 1등 부동산 광고서비스 채널브리즈(주)는 자유로운 분위기 & 수평적 관계에서 편안하게 근무 가능합니다. 벤처회사 답게 변화가 많아 하루하루 새롭습니다.,모험심이 약하고 변화에 적응을 못하시면 힘들수 있습니다. 일하려는 의지만 있으시면 극복 가능합니다.
5,4,4,5,5,5,"수평적인 문화, 다양한 복지, 야근 지양 문화, 젊은 층이 많아서 재미있게 일할 수 있다",큰 단점이라고는 없지만 건물 자체에 흡연구역이 좁아서 흡연자들은 일부 불편할 수 있음
5,3,3,4,3,3,"부동산 정보 1위 회사에 다니는 자부심과 회사의 위치가 좋다.
리프레쉬라는 휴가제도 등 복지가 좋다.",외부에서 주목받는 만큼 더 잘해야 된다는 부담감이 있다.
4,4,3,4,3,3,"현실적 비전 제시, 이성적 복지 제공, 적정 수준의 보상, 균형적 삶 등을 지향함","하향식 의사 결정 구조, 이미 결정된 사항들이 맘에 안 든다면 떠나는 것이 회사와 본인 서로에게 나음"
3,3,3,3,4,3,벤처 기업 사이에서는 괜찮은 복지와 급여 수준을 가지고 있음. 업무 강도는 적정하다. 젊은 분위기의 사내문화로 자유롭고 제약이 없는 편이다. 기업의 성장성도 있고 비전 또한 확실한 편이다.,"벤처기업이지만 능력껏 재량껏 일을 할 수 있다기 보다는, 시키는 일을 해야한다. 업무 분야(영업)가 전문성이 없기 때문에 중간에 나오거나 회사에 문제가 생기면 이도저도 아니게 된다."
